DL/AL-050,"Germany (Alpine)","Allgäuer Alpen",Wildengundkopf,2238,7343,10.2919,47.3128,10.29190,47.31280,10,3,01/03/2004,31/12/2008,0,,
DL/AL-051,"Germany (Alpine)","Allgäuer Alpen",Schmalhorn,1952,6404,10.2875,47.3339,10.28750,47.33390,8,3,01/03/2004,31/12/2008,0,,
DL/AL-052,"Germany (Alpine)","Allgäuer Alpen","Hinterer Wildgundkopf",1955,6414,10.28737,47.33962,10.28737,47.33962,8,3,01/03/2004,31/12/2024,1,07/10/2018,DL1SBE/P
DL/AL-053,"Germany (Alpine)","Allgäuer Alpen","Vorderer Wildgundkopf",1935,6348,10.2856,47.3464,10.28560,47.34640,8,3,01/03/2004,31/12/2008,0,,
DL/AL-054,"Germany (Alpine)","Allgäuer Alpen",Himmelschrofen,1791,5876,10.28257,47.3627,10.28257,47.36270,6,3,01/03/2004,31/12/2024,3,15/08/2024,DF6TG
DL/AL-055,"Germany (Alpine)","Allgäuer Alpen",Hoefats,2258,7408,10.34945,47.36718,10.34945,47.36718,10,3,01/03/2004,31/12/2099,2,30/06/2018,DD1LD/P
DL/AL-056,"Germany (Alpine)","Allgäuer Alpen","Kleine Hoefats",2073,6801,10.35457,47.36807,10.35457,47.36807,8,3,01/03/2004,30/09/2023,0,,
DL/AL-057,"Germany (Alpine)","Allgäuer Alpen",Seilhenker,1794,5886,10.3617,47.3708,10.36170,47.37080,6,3,01/03/2004,31/12/2008,0,,
DL/AL-058,"Germany (Alpine)","Allgäuer Alpen",Huettenkopf,1949,6394,10.3342,47.3742,10.33420,47.37420,8,3,01/03/2004,31/12/2008,0,,
DL/AL-059,"Germany (Alpine)","Allgäuer Alpen",Hahnenkopf,1735,5692,10.3244,47.3792,10.32440,47.37920,6,3,01/03/2004,31/12/2008,0,,
DL/AL-060,"Germany (Alpine)","Allgäuer Alpen",Riffenkopf,1748,5735,10.31732,47.37935,10.31732,47.37935,6,3,01/03/2004,31/12/2024,3,10/08/2023,DL/HB9HHO/P
DL/AL-061,"Germany (Alpine)","Allgäuer Alpen",Schneck,2268,7441,10.38244,47.38588,10.38244,47.38588,10,3,01/03/2004,31/12/2099,2,05/07/2020,DD1LD/P
DL/AL-062,"Germany (Alpine)","Allgäuer Alpen",Himmelhorn,2114,6936,10.3761,47.3819,10.37610,47.38190,8,3,01/03/2004,31/12/2008,0,,
DL/AL-063,"Germany (Alpine)","Allgäuer Alpen",Rotkopf,2182,7159,10.3808,47.3908,10.38080,47.39080,8,3,01/03/2004,31/12/2008,0,,
DL/AL-064,"Germany (Alpine)","Allgäuer Alpen","Laufbacher Eck",2178,7146,10.3808,47.3933,10.38080,47.39330,8,3,01/03/2004,31/12/2008,1,02/07/2008,DL4CW/P
DL/AL-065,"Germany (Alpine)","Allgäuer Alpen",Salober,2088,6850,10.3878,47.3978,10.38780,47.39780,8,3,01/03/2004,31/12/2008,0,,
DL/AL-066,"Germany (Alpine)","Allgäuer Alpen",Berggaechtle,2006,6581,10.3942,47.4075,10.39420,47.40750,8,3,01/03/2004,31/12/2008,0,,
DL/AL-067,"Germany (Alpine)","Allgäuer Alpen",Giebel,1949,6394,10.3989,47.4131,10.39890,47.41310,8,3,01/03/2004,31/12/2008,0,,
DL/AL-068,"Germany (Alpine)","Allgäuer Alpen",Lachenkopf,2111,6926,10.37172,47.39486,10.37172,47.39486,8,3,01/03/2004,31/12/2024,2,14/09/2021,DK7MG/P
DL/AL-069,"Germany (Alpine)","Allgäuer Alpen",Schochen,2100,6890,10.36051,47.39418,10.36051,47.39418,8,3,01/03/2004,30/09/2023,3,09/09/2023,DK1BZ/P
DL/AL-070,"Germany (Alpine)","Allgäuer Alpen","Grosser Seekopf",2084,6837,10.3544,47.4058,10.35440,47.40580,8,3,01/03/2004,31/12/2008,1,02/07/2008,DL4CW/P
DL/AL-071,"Germany (Alpine)","Allgäuer Alpen","Kleiner Seekopf",2095,6873,10.3564,47.4014,10.35640,47.40140,8,3,01/03/2004,31/12/2008,0,,
